Instância	Repetição	Seed	Resultado
meia.tsp	0		
meia.tsp	1		
meia.tsp	2		
meia.tsp	3		
meia.tsp	4		
meia.tsp	5		
meia.tsp	6		
meia.tsp	7		
meia.tsp	8		
meia.tsp	9		
arvore.tsp	0		
arvore.tsp	1		
arvore.tsp	2		
arvore.tsp	3		
arvore.tsp	4		
arvore.tsp	5		
arvore.tsp	6		
arvore.tsp	7		
arvore.tsp	8		
arvore.tsp	9		
rena.tsp	0		
rena.tsp	1		
rena.tsp	2		
rena.tsp	3		
rena.tsp	4		
rena.tsp	5		
rena.tsp	6		
rena.tsp	7		
rena.tsp	8		
rena.tsp	9		
boneco_neve.tsp	0		
boneco_neve.tsp	1		
boneco_neve.tsp	2		
boneco_neve.tsp	3		
boneco_neve.tsp	4		
boneco_neve.tsp	5		
boneco_neve.tsp	6		
boneco_neve.tsp	7		
boneco_neve.tsp	8		
boneco_neve.tsp	9		
presente.tsp	0		
presente.tsp	1		
presente.tsp	2		
presente.tsp	3		
presente.tsp	4		
presente.tsp	5		
presente.tsp	6		
presente.tsp	7		
presente.tsp	8		
presente.tsp	9		
papai_noel.tsp	0		
papai_noel.tsp	1		
papai_noel.tsp	2		
papai_noel.tsp	3		
papai_noel.tsp	4		
papai_noel.tsp	5		
papai_noel.tsp	6		
papai_noel.tsp	7		
papai_noel.tsp	8		
papai_noel.tsp	9		
bengala.tsp	0		
bengala.tsp	1		
bengala.tsp	2		
bengala.tsp	3		
bengala.tsp	4		
bengala.tsp	5		
bengala.tsp	6		
bengala.tsp	7		
bengala.tsp	8		
bengala.tsp	9		
guirlanda.tsp	0		
guirlanda.tsp	1		
guirlanda.tsp	2		
guirlanda.tsp	3		
guirlanda.tsp	4		
guirlanda.tsp	5		
guirlanda.tsp	6		
guirlanda.tsp	7		
guirlanda.tsp	8		
guirlanda.tsp	9		
